Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	-200.0	0.0	-200.0	-200.0	200.0	-56.650574	0.0011524572	-56.647385	-56.653736	116000	-2.3841857e-09	580.93085	-0.0020214778	-0.11077881	0.8096996	0.0028892036	0.095	79.0	99.19207859039307
29	-200.0	0.0	-200.0	-200.0	200.0	-56.783913	0.0012025014	-56.780533	-56.786842	120000	-2.2888184e-08	580.81665	-0.000746851	-0.06060791	0.7608322	0.007378951	0.0	79.0	102.64272093772888
30	-200.0	0.0	-200.0	-200.0	200.0	-56.885765	0.00130161	-56.881386	-56.889187	124000	3.3378602e-09	580.75415	-0.0029888495	-0.032043457	0.6911388	0.007165657	0.0	79.0	106.21959495544434
31	-200.0	0.0	-200.0	-200.0	200.0	-56.961742	0.0009218466	-56.957993	-56.964466	128000	1.001358e-08	580.7209	-0.0027672707	-0.01574707	0.6423624	0.0055517443	0.077	79.0	109.56525135040283
32	-200.0	0.0	-200.0	-200.0	200.0	-57.01731	0.0011583592	-57.01299	-57.02059	132000	2.1457673e-08	580.71124	-0.0012679558	-0.007385254	0.73012185	0.0059973667	0.0	79.0	113.02368998527527
33	-200.0	0.0	-200.0	-200.0	200.0	-57.056084	0.0013028667	-57.051334	-57.059406	136000	-9.536744e-10	580.699	-0.0016028453	-0.0033569336	0.6309932	0.00409139	0.0	79.0	116.32565999031067
34	-200.0	0.0	-200.0	-200.0	200.0	-57.082962	0.0012752695	-57.079548	-57.086327	140000	3.8146974e-09	580.69525	-0.0004989343	-0.0014038086	0.64140123	0.0028053757	0.091	79.0	119.60357427597046
35	-200.0	0.0	-200.0	-200.0	200.0	-57.101173	0.0011145234	-57.09805	-57.104736	144000	-2.336502e-08	580.69415	-0.0018573694	-0.0005493164	0.72332114	0.0060855984	0.0	79.0	122.91950130462646
36	-200.0	0.0	-200.0	-200.0	200.0	-57.112892	0.0010690957	-57.109142	-57.11623	148000	-1.1444092e-08	580.69684	-0.0013099652	-6.1035156e-05	0.6636088	0.0027377498	0.0	79.0	126.19494390487671
37	-200.0	0.0	-200.0	-200.0	200.0	-57.12009	0.0012636001	-57.11586	-57.123524	152000	-6.6757204e-09	580.69147	-0.0005998034	-0.00024414062	0.660769	0.004384467	0.0	79.0	129.48401308059692
38	-200.0	0.0	-200.0	-200.0	200.0	-57.125114	0.0012556777	-57.1213	-57.128433	156000	1.8119811e-08	580.69617	-0.002238053	-0.00012207031	0.5933832	0.0026088043	0.10425	79.0	132.8740677833557
39	-200.0	0.0	-200.0	-200.0	200.0	-57.127697	0.0010712991	-57.123756	-57.130493	160000	-1.6212464e-08	580.6961	-0.0014310303	-6.1035156e-05	0.642509	0.005430632	0.0	79.0	136.25054693222046
40	-200.0	0.0	-200.0	-200.0	200.0	-57.129112	0.0014160974	-57.124794	-57.132584	164000	2.861023e-09	580.6974	-0.0009892073	-0.00030517578	0.7273187	0.005480267	0.0	79.0	139.7606978416443
41	-200.0	0.0	-200.0	-200.0	200.0	-57.12969	0.0011456185	-57.1255	-57.132717	168000	1.7642975e-08	580.6936	-0.0013669897	0.00012207031	0.6589406	0.0025210218	0.09675	79.0	143.20996475219727
42	-200.0	0.0	-200.0	-200.0	200.0	-57.130436	0.001209385	-57.12606	-57.13361	172000	-1.525879e-08	580.695	-0.0011339856	0.0	0.6810396	0.0088357255	0.0	79.0	146.56079578399658
