Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	-45.5125	14.128866	0.0	-50.0	50.0	-20.903086	11.043132	9.928605	-44.730907	116000	-4.7683715e-09	50.75175	-0.008626218	-12.241718	1.7450222	0.012745667	0.16775	5.0	302.0660009384155
29	-48.125	9.499178	0.0	-50.0	50.0	-18.701563	11.352823	2.3824587	-41.60232	120000	2.9206277e-08	39.631092	-0.02319545	-15.392172	1.7216773	0.010537381	0.1185	79.0	312.49548387527466
30	-46.25	13.169567	0.0	-50.0	50.0	-20.867666	10.839265	2.1260283	-43.090164	124000	1.001358e-08	43.135555	-0.0071077147	-8.570736	1.7502784	0.015355192	0.242	5.0	322.9081811904907
31	-45.625	14.128318	0.0	-50.0	50.0	-18.52671	11.485058	2.5914261	-41.92715	128000	2.3245812e-09	52.47527	-0.02453257	-10.594959	1.7342678	0.007165193	0.13125	79.0	333.4596486091614
32	-48.75	7.8062477	0.0	-50.0	50.0	-20.23365	10.1869	0.41561902	-42.663918	132000	-1.859665e-08	24.337782	-0.025323384	-7.5328007	1.7180163	0.010393864	0.1245	79.0	344.10950446128845
33	-46.25	13.169567	0.0	-50.0	50.0	-20.33079	11.432322	2.1272852	-44.691917	136000	-2.3841858e-08	47.49647	-0.026286194	-9.182106	1.6361734	0.008788309	0.11875	79.0	354.2714991569519
34	-43.75	16.535946	0.0	-50.0	50.0	-20.28801	10.407133	1.6143535	-42.020397	140000	5.722046e-09	60.906548	-0.025939379	-14.053555	1.608637	0.01018221	0.1345	79.0	364.5234205722809
35	-45.625	14.128318	0.0	-50.0	50.0	-18.364716	10.23879	3.5151412	-41.013554	144000	0.0	44.770485	-0.030058123	-8.970711	1.5607461	0.014104765	0.161	79.0	374.7958459854126
36	-48.125	9.499178	0.0	-50.0	50.0	-20.294598	10.842367	3.4031973	-47.48722	148000	0.0	30.313793	-0.027642338	-9.588808	1.5141697	0.0051766112	0.10825	79.0	385.3414442539215
37	-48.125	9.499178	0.0	-50.0	50.0	-20.166943	11.212042	3.1845999	-43.49054	152000	7.629395e-09	26.001331	-0.029858997	-4.003273	1.5410801	0.0060236277	0.15925	79.0	395.99886417388916
38	-46.25	13.169567	0.0	-50.0	50.0	-20.277884	10.8993635	1.2254379	-44.054134	156000	6.6757204e-09	39.898468	-0.026233422	-5.296192	1.4169987	0.013166264	0.1295	79.0	406.49086928367615
39	-45.625	14.128318	0.0	-50.0	50.0	-20.643642	10.912151	2.6437728	-43.175682	160000	9.059906e-09	40.708313	-0.029486844	-6.572563	1.4340727	0.013405032	0.1335	79.0	416.7970938682556
40	-45.0	15.0	0.0	-50.0	50.0	-19.504868	10.661218	0.28306746	-48.886585	164000	9.536744e-10	43.207645	-0.03255822	-14.846609	1.4211166	0.009556094	0.17825	79.0	427.19186663627625
