Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	-45.625	14.128318	0.0	-50.0	50.0	-19.662554	9.777477	-4.8855777	-33.750385	116000	0.0	54.66103	-0.0041952175	-1.5899582	2.4120586	0.004441365	0.03375	79.0	301.19703459739685
29	-47.5	10.897247	0.0	-50.0	50.0	-19.42226	10.013023	-4.870572	-33.804012	120000	-1.0490417e-08	37.760998	-0.0043115173	-2.9237633	2.366975	0.004531354	0.021	79.0	311.2129273414612
30	-45.625	14.128318	0.0	-50.0	50.0	-20.48629	10.147297	-5.079758	-34.362904	124000	9.536744e-10	53.89061	-0.0049156616	-1.6460304	2.4181836	0.003932422	0.0365	79.0	321.5362296104431
31	-45.0	15.0	0.0	-50.0	50.0	-19.574152	9.916272	-4.9254904	-33.998573	128000	8.5830685e-09	61.18311	-0.004879504	-1.1851234	2.3966045	0.002868577	0.03175	79.0	331.331885099411
32	-45.0	15.0	0.0	-50.0	50.0	-19.594742	9.632168	-4.5410814	-33.909645	132000	3.8146974e-09	58.44227	-0.006342483	-1.2424583	2.4268272	0.0061666337	0.04375	79.0	341.0634021759033
33	-45.0	15.0	0.0	-50.0	50.0	-19.084152	9.959045	-4.221644	-33.907776	136000	-1.1444092e-08	59.573025	-0.004891316	-1.0728798	2.3408442	0.003642919	0.03875	79.0	351.07299304008484
34	-46.875	12.103073	0.0	-50.0	50.0	-19.486559	9.815993	-4.4496136	-33.999424	140000	9.536743e-09	39.296562	-0.0020156736	-1.5340996	2.3335662	0.01448803	0.21	4.0	360.64595580101013
35	-48.125	9.499178	0.0	-50.0	50.0	-20.056007	10.189858	-4.437213	-34.84478	144000	-5.722046e-09	28.42114	-0.0046687163	-2.2420616	2.3203912	0.004326109	0.0325	79.0	370.56955075263977
36	-44.375	15.799031	0.0	-50.0	50.0	-20.935455	10.378146	-5.194283	-35.315865	148000	8.106232e-09	64.94705	-0.0057066022	-3.960659	2.2704577	0.0064957775	0.0465	79.0	380.53756880760193
37	-47.5	10.897247	0.0	-50.0	50.0	-18.959461	9.952273	-4.032401	-34.258785	152000	-1.2397766e-08	36.084515	-0.0057979547	-3.618122	2.2882583	0.004156885	0.06625	79.0	390.5508313179016
38	-47.5	10.897247	0.0	-50.0	50.0	-20.290525	10.3817005	-4.510361	-35.381935	156000	-1.9073487e-09	31.842505	-0.0053900233	-0.84101677	2.1881607	0.006695193	0.0605	79.0	400.6146149635315
39	-45.625	14.128318	0.0	-50.0	50.0	-20.339895	10.519006	-3.9528477	-35.7329	160000	-1.0490417e-08	52.14612	-0.007480646	-1.1435661	2.2038639	0.005805541	0.07025	79.0	410.5786440372467
40	-48.125	9.499178	0.0	-50.0	50.0	-19.687555	10.1192465	-4.2994018	-35.289734	164000	-3.1471252e-08	28.258446	-0.003476418	-2.3125153	2.1783872	0.010910317	0.1595	4.0	420.5453517436981
41	-45.625	14.128318	0.0	-50.0	50.0	-20.638235	10.444284	-4.39388	-36.040894	168000	4.7683715e-09	53.04807	-0.0045052	-1.2892189	2.1526728	0.0008361385	0.0255	79.0	430.31298303604126
42	-46.875	12.103073	0.0	-50.0	50.0	-20.010975	9.91145	-4.735912	-35.484783	172000	-1.9073487e-09	39.888283	-0.0040692864	-0.6524391	2.1717892	0.0031780307	0.04525	79.0	439.74772238731384
43	-43.75	16.535946	0.0	-50.0	50.0	-20.01427	10.326162	-4.03789	-35.906803	176000	2.1457673e-08	71.03194	-0.003829804	-1.8729858	2.1135707	0.00403523	0.0245	79.0	449.461865901947
44	-45.0	15.0	0.0	-50.0	50.0	-19.225687	9.581858	-4.0048814	-34.746086	180000	-2.861023e-09	58.132328	-0.005042022	-0.67393875	2.079421	0.005269784	0.038	79.0	459.3645370006561
45	-45.625	14.128318	0.0	-50.0	50.0	-19.584076	9.876891	-3.8730226	-35.220367	184000	-3.242493e-08	51.603737	-0.007966373	-0.9610863	2.0375311	0.008705584	0.09275	79.0	469.196236371994
46	-45.0	15.0	0.0	-50.0	50.0	-19.43766	10.365558	-3.223646	-35.41011	188000	1.7642975e-08	56.37826	-0.005754393	-0.5749626	2.0171244	0.003224636	0.0475	79.0	478.8484778404236
47	-46.875	12.103073	0.0	-50.0	50.0	-19.688753	9.899792	-3.5020328	-35.34751	192000	-1.4781952e-08	39.25349	-0.005625242	-0.98757553	1.963208	0.0042297384	0.0605	79.0	488.6165261268616
48	-48.125	9.499178	0.0	-50.0	50.0	-20.358957	10.324406	-3.4055462	-36.07612	196000	5.722046e-09	25.809612	-0.008664091	-0.8712559	1.8915856	0.011370018	0.102	79.0	498.299640417099
49	-48.125	9.499178	0.0	-50.0	50.0	-20.866364	10.6381	-2.62574	-36.626064	200000	3.8146974e-09	24.09199	-0.00598338	-0.39484978	1.8387554	0.0043004407	0.063	79.0	507.91108655929565
50	-48.125	9.499178	0.0	-50.0	50.0	-20.953241	10.636924	-2.360331	-36.81904	204000	-1.525879e-08	25.358261	-0.0011176405	-0.4303856	1.8453332	0.018210277	0.24225	3.0	517.4395594596863
51	-46.25	13.169567	0.0	-50.0	50.0	-20.750767	10.955916	-1.960037	-36.918	208000	-9.059906e-09	45.185493	-0.0055855745	-1.2554626	1.7930319	0.0047076684	0.069	79.0	527.0467960834503
